Instance;GIPS Preproc Mean;GIPS Preproc StdDev;MZ Preproc Mean;MZ Preproc StdDev;Preproc R;Preproc Mean;Preproc StdDev;GIPS Build Mean;GIPS Build StdDev;MZ Build Mean;MZ Build StdDev;Build R;Build Mean;Build StdDev
i01;0.23;0.00;0.18;0.01;1.28;;;0.94;0.02;12.11;0.03;0.08;;
i02;0.23;0.00;0.17;0.00;1.35;;;0.97;0.01;18.86;0.02;0.05;;
i03;0.26;0.00;0.17;0.00;1.53;;;1.07;0.03;16.74;0.07;0.06;;
i04;0.45;0.01;0.17;0.00;2.65;;;3.24;0.07;59.59;0.22;0.05;;
i05;1.24;0.06;0.17;0.00;7.29;;;11.32;0.15;210.23;0.28;0.05;;
i06;0.94;0.01;0.17;0.00;5.53;;;6.35;0.07;109.02;0.40;0.06;;
i07;0.78;0.04;0.18;0.00;4.33;;;7.60;0.12;146.40;0.32;0.05;;
i08;2.83;0.02;0.18;0.01;15.72;;;42.13;0.27;686.19;0.64;0.06;;
i09;1.22;0.03;0.18;0.00;6.78;;;11.64;0.11;175.36;0.44;0.07;;
i10;1.41;0.02;0.18;0.00;7.83;;;12.34;0.16;213.42;0.56;0.06;;
i11;1.46;0.04;0.18;0.00;8.11;;;19.15;0.25;269.85;1.60;0.07;;
i12;1.24;0.03;0.18;0.00;6.89;;;12.44;0.34;193.46;0.75;0.06;;
i13;1.35;0.07;0.17;0.00;7.94;;;10.78;0.20;188.87;0.40;0.06;;
i14;1.88;0.03;0.18;0.00;10.44;;;28.30;0.60;540.80;2.18;0.05;;
i15;1.80;0.01;0.18;0.00;10.00;;;24.62;0.29;437.07;0.14;0.06;;
i16;1.54;0.03;0.18;0.00;8.56;;;22.17;0.31;377.30;0.92;0.06;;
i17;9.66;0.08;0.20;0.01;48.30;;;178.76;1.76;2,311.90;9.60;0.08;;
i18;3.36;0.05;0.19;0.00;17.68;;;62.92;1.50;1,326.38;1.74;0.05;;
i19;11.39;0.15;0.24;0.02;47.46;;;264.13;0.00;4,579.60;19.15;0.06;;
i20;1.80;0.08;0.21;0.01;8.57;;;20.91;0.26;395.06;1.42;0.05;;
i21;7.00;0.09;0.19;0.01;36.84;;;142.93;6.37;1,914.73;10.79;0.07;;
i22;11.48;0.10;0.20;0.01;57.40;;;--;--;2,041.60;689.87;--;;
i23;10.58;0.15;0.23;0.04;46.00;;;252.82;0.00;3,387.60;1,197.60;0.07;;
i24;17.44;0.09;0.21;0.01;83.05;;;--;--;3,273.88;28.40;--;;
i25;5.02;0.11;0.21;0.01;23.90;;;129.52;0.91;1,235.17;433.15;0.10;;
i26;15.64;0.03;0.19;0.00;82.32;;;--;--;4,321.61;2,051.10;--;;
i27;17.85;0.03;0.22;0.01;81.14;;;--;--;3,219.42;37.45;--;;
i28;8.22;0.15;0.21;0.00;39.14;;;194.28;2.66;1,951.71;632.35;0.10;;
i29;5.67;0.06;0.19;0.01;29.84;;;135.60;1.48;1,442.57;493.38;0.09;;
i30;8.54;0.17;0.19;0.00;44.95;;;186.72;1.93;2,071.61;676.97;0.09;;
final;;;;;;25.09;25.20;;;;;;0.07;0.02