Instance;GIPS Best Objective Mean;GIPS Best Objective StdDev;MZ Best Objective Mean;MZ Best Objective StdDev;Best Objective R;Best Objective Mean;Best Objective StdDev;GIPS Best Bound Mean;GIPS Best Bound StdDev;MZ Best Bound Mean;MZ Best Bound StdDev;Best Bound R;Best Bound Mean;Best Bound StdDev;GIPS Solutions Mean;GIPS Solutions StdDev;MZ Solutions Mean;MZ Solutions StdDev;Solutions R;Solutions Mean;Solutions StdDev
i01;3,868.67;15.97;3,846.00;--;1.01;;;3,749.00;1.63;3,712.33;0.94;1.01;;;10.00;0.00;10.00;0.00;1.00;;
i02;1,355.00;20.02;1,352.33;13.02;1.00;;;1,040.00;25.47;931.33;26.60;1.12;;;10.00;0.00;10.00;0.00;1.00;;
i03;10,553.33;2.36;10,570.00;14.14;1.00;;;10,168.33;2.87;10,066.67;12.26;1.01;;;10.00;0.00;10.00;0.00;1.00;;
i04;2,151.00;82.85;2,317.00;--;0.93;;;1,214.67;1.25;1,394.00;--;0.87;;;10.00;0.00;10.00;0.00;1.00;;
i05;13,176.00;57.39;13,736.00;--;0.96;;;12,049.00;317.16;12,196.00;--;0.99;;;10.00;0.00;10.00;0.00;1.00;;
i06;10,699.33;6.55;10,768.67;16.03;0.99;;;10,455.33;1.70;10,450.33;1.89;1.00;;;10.00;0.00;10.00;0.00;1.00;;
i07;5,758.67;39.20;8,407.00;497.80;0.68;;;2,018.67;6.23;2,055.67;4.71;0.98;;;10.00;0.00;10.00;0.00;1.00;;
i08;6,691,249.00;--;--;--;--;;;--;--;1,574.00;--;--;;;0.33;0.47;0.00;0.00;--;;
i09;7,864.00;142.49;12,376.33;590.37;0.64;;;2,969.00;1.41;3,624.00;8.04;0.82;;;10.00;0.00;10.00;0.00;1.00;;
i10;22,938.33;115.78;25,066.67;172.26;0.92;;;15,116.67;4.71;14,363.33;81.79;1.05;;;10.00;0.00;10.00;0.00;1.00;;
i11;29,246.67;1,614.74;30,029.00;14.14;0.97;;;24,957.67;19.91;25,164.67;1.89;0.99;;;10.00;0.00;10.00;0.00;1.00;;
i12;16,189.33;479.20;15,799.33;79.05;1.02;;;6,442.00;5.72;6,480.00;7.26;0.99;;;10.00;0.00;10.00;0.00;1.00;;
i13;22,462.33;1,091.47;25,047.00;24.34;0.90;;;12,693.33;230.99;8,915.67;75.55;1.42;;;10.00;0.00;10.00;0.00;1.00;;
i14;9,706,406.67;6,849,002.82;22,473.67;668.45;431.90;;;5,034.00;--;5,322.00;--;0.95;;;4.00;4.24;10.00;0.00;0.40;;
i15;25,132.00;5,428.46;27,180.00;832.47;0.92;;;1,838.00;555.36;5,931.00;--;0.31;;;10.00;0.00;10.00;0.00;1.00;;
i16;--;--;25,558.33;36,144.94;--;;;1,415.33;319.85;4,068.00;--;0.35;;;0.00;0.00;0.33;0.47;0.00;;
i17;--;--;--;--;--;;;--;--;17,640.00;--;--;;;0.00;0.00;0.00;0.00;--;;
i18;--;--;112,930.00;1,712.12;--;;;--;--;35,983.00;--;--;;;0.00;0.00;1.00;0.00;0.00;;
i19;--;--;--;--;--;;;--;--;--;--;--;;;0.00;0.00;0.00;0.00;--;;
i20;--;--;15,360.67;21,723.26;--;;;21,043.00;3,117.63;20,500.00;138.59;1.03;;;0.00;0.00;3.33;4.71;0.00;;
i21;--;--;249,033.33;2,662.02;--;;;--;--;8,871.67;923.01;--;;;0.00;0.00;1.00;0.00;0.00;;
i22;--;--;--;--;--;;;--;--;25,120.33;11.15;--;;;0.00;0.00;0.00;0.00;--;;
i23;--;--;--;--;--;;;--;--;136.67;96.64;--;;;0.00;0.00;0.00;0.00;--;;
i24;--;--;--;--;--;;;--;--;--;--;--;;;0.00;0.00;0.00;0.00;--;;
i25;--;--;123,949.00;429.92;--;;;--;--;4,488.00;--;--;;;0.00;0.00;1.00;0.00;0.00;;
i26;--;--;--;--;--;;;--;--;--;--;--;;;0.00;0.00;0.00;0.00;--;;
i27;--;--;--;--;--;;;--;--;--;--;--;;;0.00;0.00;0.00;0.00;--;;
i28;--;--;--;--;--;;;--;--;46,999.33;26,711.90;--;;;0.00;0.00;0.00;0.00;--;;
i29;--;--;113,871.00;1,411.39;--;;;--;--;6,412.37;0.45;--;;;0.00;0.00;1.00;0.00;0.00;;
i30;--;--;--;--;--;;;--;--;8,213.00;8,761.01;--;;;0.00;0.00;0.00;0.00;--;;
final;;;;;;31.70;110.99;;;;;;0.93;0.26;;;;;;0.67;0.46