Instance;GIPS Constraints;MZ Constraints;Constraints R;Constraints Mean;Constraints StdDev;GIPS Variables;MZ Variables;Variables R;Variables Mean;Variables StdDev;GIPS Coef;MZ Coef;Coef R;Coef Mean;Coef StdDev
i01;108,532;32,432;3.35;;;55,256;39,201;1.41;;;358,677;140,944;2.54;;
i02;111,205;51,650;2.15;;;57,081;63,454;0.90;;;382,671;225,427;1.70;;
i03;129,355;43,838;2.95;;;66,175;55,774;1.19;;;428,057;203,558;2.10;;
i04;455,421;167,498;2.72;;;231,939;198,673;1.17;;;1,709,257;691,915;2.47;;
i05;1,732,122;569,553;3.04;;;877,976;659,866;1.33;;;6,677,011;2,484,462;2.69;;
i06;944,803;274,704;3.44;;;479,290;331,916;1.44;;;3,451,061;1,240,563;2.78;;
i07;1,132,974;407,629;2.78;;;581,442;482,498;1.21;;;4,573,533;1,692,853;2.70;;
i08;6,428,321;1,800,217;3.57;;;3,256,817;2,058,187;1.58;;;26,134,669;7,641,746;3.42;;
i09;1,783,732;466,187;3.83;;;905,735;547,811;1.65;;;7,150,427;1,982,632;3.61;;
i10;1,856,359;560,375;3.31;;;945,411;683,369;1.38;;;6,933,959;2,550,805;2.72;;
i11;2,901,465;725,020;4.00;;;1,470,020;840,833;1.75;;;11,815,901;2,947,515;4.01;;
i12;1,847,823;485,034;3.81;;;944,509;603,960;1.56;;;7,341,060;2,062,122;3.56;;
i13;1,621,810;506,050;3.20;;;847,019;637,857;1.33;;;6,464,156;2,284,305;2.83;;
i14;4,241,975;1,420,301;2.99;;;2,157,884;1,690,460;1.28;;;18,017,188;5,710,167;3.16;;
i15;3,749,900;1,168,837;3.21;;;1,928,981;1,380,804;1.40;;;15,717,280;4,897,581;3.21;;
i16;3,304,908;962,898;3.43;;;1,684,642;1,190,237;1.42;;;13,663,492;3,984,793;3.43;;
i17;26,095,872;6,084,632;4.29;;;13,258,694;6,909,606;1.92;;;109,446,200;26,612,543;4.11;;
i18;9,281,278;3,483,770;2.66;;;4,708,224;4,016,814;1.17;;;39,139,673;14,557,648;2.69;;
i19;37,498,644;11,907,324;3.15;;;19,087,207;13,306,054;1.43;;;164,352,455;50,241,369;3.27;;
i20;3,124,066;991,525;3.15;;;1,607,766;1,232,710;1.30;;;12,921,916;4,197,988;3.08;;
i21;20,438,120;5,091,564;4.01;;;10,427,837;5,817,785;1.79;;;87,189,885;21,519,529;4.05;;
i22;--;7,762,439;--;;;--;9,041,280;--;;;--;33,103,790;--;;
i23;35,001,665;13,119,990;2.67;;;17,739,497;14,812,297;1.20;;;153,236,524;54,784,264;2.80;;
i24;--;17,332,709;--;;;--;19,819,382;--;;;--;70,638,367;--;;
i25;18,395,625;4,967,116;3.70;;;9,363,321;5,682,911;1.65;;;80,776,962;19,955,704;4.05;;
i26;--;14,791,829;--;;;--;16,866,755;--;;;--;62,021,820;--;;
i27;--;17,292,649;--;;;--;19,614,293;--;;;--;73,070,806;--;;
i28;27,534,270;7,556,376;3.64;;;13,985,830;8,837,736;1.58;;;120,115,393;30,916,292;3.89;;
i29;19,256,999;5,820,785;3.31;;;9,879,598;6,682,163;1.48;;;85,217,192;23,242,974;3.67;;
i30;26,803,741;8,001,704;3.35;;;13,649,936;9,335,968;1.46;;;116,243,195;32,919,051;3.53;;
final;;;;3.30;0.48;;;;1.42;0.22;;;;3.16;0.62