Instance;Model Objective Mean;Model Objective StdDev;Validator Objective Mean;Validator Objective StdDev;Objective R;Objective Mean;Objective StdDev
i01;3,846.00;--;3,846.00;--;1.00;;
i02;1,352.33;13.02;1,352.33;13.02;1.00;;
i03;10,570.00;14.14;10,570.00;14.14;1.00;;
i04;2,317.00;--;2,317.00;--;1.00;;
i05;13,736.00;--;13,736.00;--;1.00;;
i06;10,768.67;16.03;10,768.67;16.03;1.00;;
i07;8,407.00;497.80;8,407.00;497.80;1.00;;
i08;--;--;--;--;--;;
i09;12,376.33;590.37;12,376.33;590.37;1.00;;
i10;25,066.67;172.26;25,066.67;172.26;1.00;;
i11;30,029.00;14.14;30,029.00;14.14;1.00;;
i12;15,799.33;79.05;15,796.00;74.65;1.00;;
i13;25,047.00;24.34;25,047.00;24.34;1.00;;
i14;22,473.67;668.45;22,473.67;668.45;1.00;;
i15;27,180.00;832.47;27,180.00;832.47;1.00;;
i16;25,558.33;36,144.94;8,601.00;12,163.65;2.97;;
i17;--;--;--;--;--;;
i18;112,930.00;1,712.12;59,817.33;1,391.55;1.89;;
i19;--;--;--;--;--;;
i20;15,360.67;21,723.26;15,359.67;21,721.85;1.00;;
i21;249,033.33;2,662.02;65,244.67;1,340.20;3.82;;
i22;--;--;--;--;--;;
i23;--;--;--;--;--;;
i24;--;--;--;--;--;;
i25;123,949.00;429.92;33,224.67;460.56;3.73;;
i26;--;--;--;--;--;;
i27;--;--;--;--;--;;
i28;--;--;--;--;--;;
i29;113,871.00;1,411.39;63,508.67;1,066.79;1.79;;
i30;--;--;--;--;--;;
final;;;;;;1.46;0.91